host_ID,otu_ID,genus,base_taxon,has_genus,final_id,relative_reads,link,type,final_taxon_otu_ID,host_species,village,grid,season
2036,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.011730205,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,brushy_regrowth,1
2036,nc_74,NA,Chromadorea,FALSE,Chromadorea_1,0.765395894,1,NC,nc_74_Chromadorea_1,Microgale brevicaudata,Mandena,brushy_regrowth,1
2036,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.14662756600000001,1,NC,nc_99_Nippostrongylus,Microgale brevicaudata,Mandena,brushy_regrowth,1
2037,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.963221962,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2038,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9434676149999999,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2039,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.068728523,1,NC,nc_116_Heligmosomoidea_1,Rattus rattus,Mandena,brushy_regrowth,1
2039,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.061855671,1,NC,nc_95_Heligmonellidae,Rattus rattus,Mandena,brushy_regrowth,1
2039,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.14261168300000002,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2041,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.967911139,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,brushy_regrowth,1
2041,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.011570503,1,NC,nc_99_Nippostrongylus,Mus musculus,Mandena,brushy_regrowth,1
2042,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9377902699999999,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,brushy_regrowth,1
2045,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.711630299,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,agriculture,1
2045,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.226287561,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,agriculture,1
2046,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.034920635,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,agriculture,1
2046,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.025396825,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,agriculture,1
2046,nc_139,NA,Nematoda,FALSE,Nematoda_4,0.341269841,1,NC,nc_139_Nematoda_4,Microgale brevicaudata,Mandena,agriculture,1
2046,nc_65,NA,Rhabditida,FALSE,Rhabditida_1,0.085714286,1,NC,nc_65_Rhabditida_1,Microgale brevicaudata,Mandena,agriculture,1
2046,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.046031746,1,NC,nc_95_Heligmonellidae,Microgale brevicaudata,Mandena,agriculture,1
2046,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.36825396800000004,1,NC,nc_99_Nippostrongylus,Microgale brevicaudata,Mandena,agriculture,1
2047,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.42428550400000004,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,agriculture,1
2047,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.5104662,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,agriculture,1
2050,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.9766166749999999,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,agriculture,1
2051,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.979665794,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,agriculture,1
2052,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.973918575,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,agriculture,1
2053,nc_170,NA,Chromadorea,FALSE,Chromadorea_61,0.029920146,1,NC,nc_170_Chromadorea_61,Rattus rattus,Mandena,agriculture,1
2053,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.010108157,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2054,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9418927069999999,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2055,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.945398661,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2057,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.416201859,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,agriculture,1
2057,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.518990704,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,agriculture,1
2059,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9405716020000001,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2060,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.9738163280000001,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,agriculture,1
2061,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.9607201310000001,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,agriculture,1
2061,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.012274959,1,NC,nc_99_Nippostrongylus,Mus musculus,Mandena,agriculture,1
2063,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9231215,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2064,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.8050435579999999,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2065,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.935774059,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2066,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9452457839999999,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2067,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9578247819999999,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2068,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.958375498,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,agriculture,1
2069,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.6933141030000001,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,agriculture,1
2069,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.23343978499999998,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,agriculture,1
2072,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.556645123,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,agriculture,1
2072,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.371220563,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,agriculture,1
2074,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.9748043399999999,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,agriculture,1
2075,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.97447868,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,agriculture,1
2076,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.9771886559999999,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,agriculture,1
2077,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.949554015,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2083,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.547729287,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,agriculture,1
2083,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.386168851,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,agriculture,1
2084,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.971359517,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,agriculture,1
2087,nc_18,NA,Chromadorea,FALSE,Chromadorea_56,0.038900635,1,NC,nc_18_Chromadorea_56,Rattus rattus,Mandena,agriculture,1
2087,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.938900635,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2089,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.978807295,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,agriculture,1
2091,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.942474188,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2092,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.972966859,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2093,nc_234,NA,Nematoda,FALSE,Nematoda_39,0.017852523,1,NC,nc_234_Nematoda_39,Rattus rattus,Mandena,agriculture,1
2093,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.965588616,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2094,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9754395039999999,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2095,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9374969029999999,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2097,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.70330903,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,agriculture,1
2097,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.163208076,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,agriculture,1
2097,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.018508132,1,NC,nc_95_Heligmonellidae,Microgale brevicaudata,Mandena,agriculture,1
2097,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.044307347,1,NC,nc_99_Nippostrongylus,Microgale brevicaudata,Mandena,agriculture,1
2099,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.959601482,1,NC,nc_95_Heligmonellidae,Mus musculus,Mandena,agriculture,1
2099,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.010023692,1,NC,nc_99_Nippostrongylus,Mus musculus,Mandena,agriculture,1
2100,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9450073159999999,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2101,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9458062030000002,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2102,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.961271774,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,agriculture,1
2103,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.964316546,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,village,1
2104,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.935583812,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,village,1
2105,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.014603924,1,NC,nc_95_Heligmonellidae,Rattus rattus,Mandena,village,1
2105,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.060038354,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,village,1
2106,nc_102,Globocephalus,Globocephalus,TRUE,Globocephalus,0.320579944,1,NC,nc_102_Globocephalus,Setifer setosus,Mandena,agriculture,1
2106,nc_93,NA,Chromadorea,FALSE,Chromadorea_2,0.635924284,1,NC,nc_93_Chromadorea_2,Setifer setosus,Mandena,agriculture,1
2106,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.02053967,1,NC,nc_99_Nippostrongylus,Setifer setosus,Mandena,agriculture,1
2107,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.809686952,1,NC,nc_129_Trichostrongylidae_1,Suncus murinus,Mandena,agriculture,1
2107,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.10230825199999999,1,NC,nc_131_Trichostrongylidae_2,Suncus murinus,Mandena,agriculture,1
2108,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.18349385499999998,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,secondary_forest,1
2108,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.41841027399999997,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,secondary_forest,1
2108,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.252407838,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,secondary_forest,1
2110,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.247063988,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,secondary_forest,1
2110,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.34288223,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,secondary_forest,1
2110,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.257984853,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,secondary_forest,1
2111,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.137101243,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,secondary_forest,1
2111,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.374178738,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,secondary_forest,1
2111,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.367133697,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,secondary_forest,1
2111,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.011002929,1,NC,nc_99_Nippostrongylus,Microgale brevicaudata,Mandena,secondary_forest,1
2115,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.894970087,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,secondary_forest,1
2115,nc_139,NA,Nematoda,FALSE,Nematoda_4,0.062707733,1,NC,nc_139_Nematoda_4,Microgale brevicaudata,Mandena,secondary_forest,1
2115,nc_66,NA,Chromadorea,FALSE,Chromadorea_4,0.018612896,1,NC,nc_66_Chromadorea_4,Microgale brevicaudata,Mandena,secondary_forest,1
2115,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.015510747,1,NC,nc_99_Nippostrongylus,Microgale brevicaudata,Mandena,secondary_forest,1
2118,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.029899209,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,secondary_forest,1
2118,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.746465535,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,secondary_forest,1
2118,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.17655415,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,secondary_forest,1
2120,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.09267672199999999,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,secondary_forest,1
2120,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.583136471,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,secondary_forest,1
2120,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.254043249,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,secondary_forest,1
2120,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.010176267,1,NC,nc_99_Nippostrongylus,Microgale brevicaudata,Mandena,secondary_forest,1
2121,nc_102,Globocephalus,Globocephalus,TRUE,Globocephalus,0.96923673,1,NC,nc_102_Globocephalus,Setifer setosus,Mandena,secondary_forest,1
2122,nc_95,NA,Heligmonellidae,FALSE,Heligmonellidae,0.017557252,1,NC,nc_95_Heligmonellidae,Rattus rattus,Mandena,secondary_forest,1
2122,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.917557252,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,secondary_forest,1
2123,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9607597220000003,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,secondary_forest,1
2125,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.288063695,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,secondary_forest,1
2125,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.250342622,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,secondary_forest,1
2125,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.36970567099999996,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,secondary_forest,1
2126,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.034502397,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,secondary_forest,1
2126,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.494233781,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,secondary_forest,1
2126,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.347064686,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,secondary_forest,1
2127,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.966289933,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,secondary_forest,1
2128,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.973331632,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,secondary_forest,1
2129,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.96819622,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,secondary_forest,1
2130,nc_201,NA,Nematoda,FALSE,Nematoda_42,0.011407619,1,NC,nc_201_Nematoda_42,Rattus rattus,Mandena,secondary_forest,1
2130,nc_99,Nippostrongylus,Nippostrongylus,TRUE,Nippostrongylus,0.9242887219999999,1,NC,nc_99_Nippostrongylus,Rattus rattus,Mandena,secondary_forest,1
2131,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.9602563179999999,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,secondary_forest,1
2132,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.913335109,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,semi-intact_forest,1
2132,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.013148543,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,semi-intact_forest,1
2133,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.50767841,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,semi-intact_forest,1
2133,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.22131888,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,semi-intact_forest,1
2133,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.135501355,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,semi-intact_forest,1
2134,nc_116,Heligmosomoidea,Heligmosomoidea,TRUE,Heligmosomoidea_1,0.5012671639999999,1,NC,nc_116_Heligmosomoidea_1,Microgale brevicaudata,Mandena,semi-intact_forest,1
2134,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.270454287,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,semi-intact_forest,1
2134,nc_131,NA,Trichostrongylidae,FALSE,Trichostrongylidae_2,0.08374626399999999,1,NC,nc_131_Trichostrongylidae_2,Microgale brevicaudata,Mandena,semi-intact_forest,1
2135,nc_94,NA,Strongylida,FALSE,Strongylida_1,0.957522827,1,NC,nc_94_Strongylida_1,Eliurus webbi,Mandena,semi-intact_forest,1
2136,nc_129,NA,Trichostrongylidae,FALSE,Trichostrongylidae_1,0.735723772,1,NC,nc_129_Trichostrongylidae_1,Microgale brevicaudata,Mandena,semi-intact_forest,1
